Animal,Adjectives,Colors,Verbs,Animales,Adjectivos,Verbos,Colores,Sustantivos,Animal2
,plush,,,Perro,,,,,
,plump,,,Perico,,,,,
,plain,,,Perdiz,,,,,
,pink,,,Perca,,,,,
,phony,,,Pepino,,,,,
,petty,,,Peluda,,,,,
,pesky,,,Pelada,,,,,
,perky,,,Pekán,,,,,
,pastel,,,Pecarí,,,,,
,past,,,Pavón,,,,,
,paltry,,,Pavo,,,,,
,pale,,,Pava,,,,,
,oval,,,Paujil,,,,,
,our,,,Pa'ua,,,,,
,other,,,Pato,,,,,
,ornery,,,Patí,,,,,
,ornate,,,Parina,,,,,
,orange,,,Pargo,,,,,
,open,,,Papión,,,,,
,only,,,Panga,,,,,
,old,,,Panda,,,,,
,oily,,,Paloma,,,,,
,odd,,,Palila,,,,,
,oblong,,,Pájaro,,,,,
,obese,,,Paíño,,,,,
,nutty,,,Paiche,,,,,
,numb,,,Pagaza,,,,,
,novel,,,Págalo,,,,,
,noted,,,Pacú,,,,,
,normal,,,Paca,,,,,
,noisy,,,Oxiuro,,,,,
,nippy,,,Oveja,,,,,
,nimble,,,Ou,,,,,
,nifty,,,Otario,,,,,
,nice,,,Ostra,,,,,
,next,,,Ostión,,,,,
,new,,,Oso,,,,,
,needy,,,Óscar,,,,,
,neat,,,Ortiga,,,,,
,near,,,Ortega,,,,,
,nasty,,,Órix,,,,,
,narrow,,,Oribí,,,,,
,naive,,,Oreo,,,,,
,muted,,,Oreja,,,,,
,musty,,,Orca,,,,,
,mushy,,,Opa,,,,,
,murky,,,Onza,,,,,
,muddy,,,Onagro,,,,,
,moral,,,Olingo,,,,,
,moist,,,Olayo,,,,,
,modest,,,Okapi,,,,,
,modern,,,Ofiura,,,,,
,mixed,,,Oca,,,,,
,misty,,,Oblada,,,,,
,minty,,,Obispo,,,,,
,minor,,,Nyala,,,,,
,milky,,,Nutria,,,,,
,mild,,,Numbat,,,,,
,messy,,,Ñu,,,,,
,merry,,,Ñocla,,,,,
,mellow,,,Nínox,,,,,
,meek,,,Nilgó,,,,,
,medium,,,Nigua,,,,,
,meaty,,,Nerita,,,,,
,measly,,,Ñeque,,,,,
,mean,,,Nécora,,,,,
,mealy,,,Navaja,,,,,
,meager,,,Násico,,,,,
,mature,,,Narval,,,,,
,male,,,Ñandú,,,,,
,major,,,Nacra,,,,,
,mad,,,Musola,,,,,
,lumpy,,,Múrice,,,,,
,lucky,,,Mulato,,,,,
,loyal,,,Mula,,,,,
,low,,,Múgil,,,,,
,loving,,,Muflón,,,,,
,lovely,,,Muergo,,,,,
,loud,,,Mosca,,,,,
,lost,,,Morsa,,,,,
,loose,,,Morito,,,,,
,long,,,Morena,,,,,
,lonely,,,Mora,,,,,
,lone,,,Mono,,,,,
,livid,,,Monjon,,,,,
,lively,,,Monja,,,,,
,live,,,Monito,,,,,
,little,,,Monal,,,,,
,liquid,,,Mona,,,,,
,lined,,,Momoto,,,,,
,linear,,,Moma,,,,,
,limp,,,Molva,,,,,
,likely,,,Móloc,,,,,
,light,,,Mojo,,,,,
,legal,,,Mofeta,,,,,
,left,,,Moa,,,,,
,lean,,,Mixino,,,,,
,leafy,,,Mito,,,,,
,lazy,,,Mirlo,,,,,
,lawful,,,Minla,,,,,
,lavish,,,Minero,,,,,
,late,,,Miná,,,,,
,last,,,Milano,,,,,
,large,,,Mielga,,,,,
,lanky,,,Mesito,,,,,
,lame,,,Mero,,,,,
,kosher,,,Merlo,,,,,
,kooky,,,Merlán,,,,,
,known,,,Melva,,,,,
,knotty,,,Mejúa,,,,,
,knobby,,,Medusa,,,,,
,klutzy,,,Mayito,,,,,
,kindly,,,Mayate,,,,,
,kind,,,Mataco,,,,,
,key,,,Maruca,,,,,
,keen,,,Martín,,,,,
,junior,,,Marta,,,,,
,jumpy,,,Marlín,,,,,
,jumbo,,,Marjor,,,,,
,juicy,,,Marica,,,,,
,joyous,,,Margay,,,,,
,joyful,,,Marao,,,,,
,jovial,,,Marabú,,,,,
,jolly,,,Mara,,,,,
,joint,,,Manul,,,,,
,jaunty,,,Mantis,,,,,
,jagged,,,Manta,,,,,
,jaded,,,Mano,,,,,
,itchy,,,Mango,,,,,
,intent,,,Manatí,,,,,
,inborn,,,Mamut,,,,,
,impure,,,Mamo,,,,,
,impish,,,Mamba,,,,,
,ill,,,Maluro,,,,,
,idle,,,Maleo,,,,,
,ideal,,,Macha,,,,,
,icy,,,Macaón,,,,,
,icky,,,Macaco,,,,,
,husky,,,Luna,,,,,
,hungry,,,Lumpo,,,,,
,humble,,,Lúgano,,,,,
,huge,,,Lución,,,,,
,hot,,,Lucio,,,,,
,honest,,,Lubina,,,,,
,homely,,,Lota,,,,,
,hollow,,,Loro,,,,,
,hoarse,,,Loris,,,,,
,high,,,Lori,,,,,
,hidden,,,Lorcha,,,,,
,hefty,,,Loica,,,,,
,heavy,,,Loco,,,,,
,hearty,,,Locha,,,,,
,hasty,,,Lobo,,,,,
,harsh,,,Lobina,,,,,
,hard,,,Llórón,,,,,
,happy,,,Llama,,,,,
,handy,,,Llaca,,,,,
,half,,,Lisa,,,,,
,hairy,,,Lirón,,,,,
,gummy,,,Lirio,,,,,
,guilty,,,Lince,,,,,
,grumpy,,,Limaco,,,,,
,grubby,,,Ligre,,,,,
,grown,,,Liebre,,,,,
,gross,,,Licaón,,,,,
,grimy,,,León,,,,,
,grim,,,Lengua,,,,,
,green,,,Lémur,,,,,
,greedy,,,Lechwe,,,,,
,great,,,Laucha,,,,,
,gray,,,Lapa,,,,,
,grave,,,Lanzón,,,,,
,grand,,,Langur,,,,,
,good,,,Lacha,,,,,
,golden,,,Kulan,,,,,
,glum,,,Kudú,,,,,
,glossy,,,Krill,,,,,
,gloomy,,,Kowari,,,,,
,glass,,,Kokako,,,,,
,giving,,,Koel,,,,,
,gifted,,,Koala,,,,,
,giddy,,,Kiwi,,,,,
,giant,,,Kiula,,,,,
,gentle,,,Kioea,,,,,
,fuzzy,,,Keta,,,,,
,fussy,,,Kea,,,,,
,funny,,,Kaluta,,,,,
,full,,,Kakapo,,,,,
,frugal,,,Kaka,,,,,
,frozen,,,Kagú,,,,,
,frosty,,,Jutía,,,,,
,front,,,Jurela,,,,,
,frizzy,,,Jurel,,,,,
,frilly,,,Junco,,,,,
,frigid,,,Julia,,,,,
,fresh,,,Jote,,,,,
,French,,,Jochi,,,,,
,free,,,Jirafa,,,,,
,frayed,,,Jineta,,,,,
,frank,,,Jiji,,,,,
,frail,,,Jibia,,,,,
,formal,,,Jerbo,,,,,
,forked,,,Jaiba,,,,,
,fond,,,Jaguar,,,,,
,fluid,,,Jacana,,,,,
,fluffy,,,Jabirú,,,,,
,flimsy,,,Jabalí,,,,,
,flawed,,,Irena,,,,,
,flat,,,Irbis,,,,,
,flashy,,,Irará,,,,,
,flaky,,,Iora,,,,,
,fixed,,,Indri,,,,,
,first,,,Inca,,,,,
,firm,,,Inambú,,,,,
,fine,,,Impala,,,,,
,filthy,,,'i'iwi,,,,,
,fickle,,,Iguana,,,,,
,few,,,Ifrita,,,,,
,female,,,Ídolo,,,,,
,feline,,,Ibis,,,,,
,feisty,,,Íbice,,,,,
,fatal,,,Hurón,,,,,
,fat,,,Huro,,,,,
,fast,,,Humano,,,,,
,far,,,Huiña,,,,,
,fancy,,,Huia,,,,,
,famous,,,Huemul,,,,,
,fake,,,Hubara,,,,,
,fair,,,Hombre,,,,,
,faint,,,Hocó,,,,,
,expert,,,Hoacín,,,,,
,exotic,,,Hirola,,,,,
,evil,,,Hihi,,,,,
,every,,,Hiena,,,,,
,even,,,Hidra,,,,,
,equal,,,Hemión,,,,,
,entire,,,Harpía,,,,,
,empty,,,Hāpuku,,,,,
,elated,,,Halcón,,,,,
,edible,,,Habia,,,,,
,easy,,,Guya,,,,,
,early,,,Gusano,,,,,
,eager,,,Gurami,,,,,
,each,,,Gura,,,,,
,dull,,,Guppy,,,,,
,dual,,,Gundi,,,,,
,dry,,,Guirre,,,,,
,droopy,,,Guión,,,,,
,dreary,,,Guatín,,,,,
,drafty,,,Guará,,,,,
,drab,,,Guama,,,,,
,double,,,Grulla,,,,,
,doting,,,Grisón,,,,,
,dopey,,,Grillo,,,,,
,dizzy,,,Grévol,,,,,
,dismal,,,Gran,,,,,
,dirty,,,Graja,,,,,
,direct,,,Gorila,,,,,
,dim,,,Goral,,,,,
,dental,,,Gobio,,,,,
,dense,,,Glotón,,,,,
,deep,,,Gineta,,,,,
,decent,,,Gibón,,,,,
,dear,,,Gelada,,,,,
,deadly,,,Geco,,,,,
,dead,,,Gayal,,,,,
,dark,,,Gavión,,,,,
,daring,,,Gavial,,,,,
,dapper,,,Gaur,,,,,
,damp,,,Gaucho,,,,,
,cute,,,Gato,,,,,
,curvy,,,Garza,,,,,
,curly,,,Gardí,,,,,
,cuddly,,,Ganso,,,,,
,cruel,,,Ganga,,,,,
,crisp,,,Gamuza,,,,,
,creepy,,,Gamo,,,,,
,creamy,,,Gamba,,,,,
,crazy,,,Galupe,,,,,
,crafty,,,Galúa,,,,,
,costly,,,Gallo,,,,,
,corny,,,Galera,,,,,
,cool,,,Galán,,,,,
,cooked,,,Gálago,,,,,
,common,,,Gadela,,,,,
,cold,,,Gacela,,,,,
,coarse,,,Fusta,,,,,
,clumsy,,,Fulmar,,,,,
,cloudy,,,Fredi,,,,,
,closed,,,Fosa,,,,,
,close,,,Fodi,,,,,
,clever,,,Focha,,,,,
,clear,,,Foca,,,,,
,clean,,,Fletán,,,,,
,chubby,,,Fiofío,,,,,
,chilly,,,Fénec,,,,,
,chief,,,Fartet,,,,,
,cheery,,,Farra,,,,,
,cheap,,,Fara,,,,,
,caring,,,Faneca,,,,,
,canine,,,Falsa,,,,,
,candid,,,Faisán,,,,,
,calm,,,Faetón,,,,,
,busy,,,Erizo,,,,,
,burly,,,Emú,,,,,
,bumpy,,,Eminia,,,,,
,bulky,,,Elanio,,,,,
,bubbly,,,Eland,,,,,
,brown,,,Eider,,,,,
,bronze,,,Duiker,,,,,
,broken,,,Duende,,,,,
,brisk,,,Duela,,,,,
,bright,,,Dúcula,,,,,
,brief,,,Drongo,,,,,
,brave,,,Dromas,,,,,
,bowed,,,Dril,,,,,
,bouncy,,,Dragón,,,,,
,both,,,Draco,,,,,
,bossy,,,Dorado,,,,,
,boring,,,Dorada,,,,,
,bony,,,Dole,,,,,
,bold,,,Dólar,,,,,
,bogus,,,Dojo,,,,,
,blue,,,Dodo,,,,,
,blond,,,Diucón,,,,,
,blind,,,Diuca,,,,,
,bleak,,,Dingo,,,,,
,blank,,,Díbler,,,,,
,bland,,,Diablo,,,,,
,black,,,Desmán,,,,,
,bitter,,,Dentón,,,,,
,big,,,Delfín,,,,,
,better,,,Delfin,,,,,
,best,,,Degú,,,,,
,basic,,,Danta,,,,,
,barren,,,Danio,,,,,
,bare,,,Damán,,,,,
,baggy,,,Dafnia,,,,,
,bad,,,Cutín,,,,,
,back,,,Cutia,,,,,
,awful,,,Cuscús,,,,,
,aware,,,Cururo,,,,,
,arid,,,Curiyú,,,,,
,arctic,,,Cuón,,,,,
,apt,,,Cuol,,,,,
,any,,,Cuna,,,,,
,annual,,,Cuis,,,,,
,angry,,,Cuervo,,,,,
,amused,,,Cuco,,,,,
,ample,,,Cucha,,,,,
,all,,,Cucal,,,,,
,alive,,,Cubla,,,,,
,alert,,,Cuatro,,,,,
,ajar,,,Cuaga,,,,,
,agile,,,Cúa,,,,,
,aged,,,Críalo,,,,,
,afraid,,,Coyote,,,,,
,adored,,,Cotuza,,,,,
,adept,,,Cotúa,,,,,
,actual,,,Cotara,,,,,
,active,,,Corzo,,,,,
,acidic,,,Corúa,,,,,
,aching,,,Coral,,,,,
,able,,,Coquí,,,,,
,,,,Conejo,,,,,
,,,,Cóndor,,,,,
,,,,Concón,,,,,
,,,,Concha,,,,,
,,,,Colugo,,,,,
,,,,Coludo,,,,,
,,,,Colobo,,,,,
,,,,Colín,,,,,
,,,,Cola,,,,,
,,,,Coipo,,,,,
,,,,Coendú,,,,,
,,,,Cocuy,,,,,
,,,,Cochoa,,,,,
,,,,Cochi,,,,,
,,,,Cobra,,,,,
,,,,Cobo,,,,,
,,,,Cobia,,,,,
,,,,Cobaya,,,,,
,,,,Coatí,,,,,
,,,,Civeta,,,,,
,,,,Cisne,,,,,
,,,,Cinta,,,,,
,,,,Cínife,,,,,
,,,,Cigua,,,,,
,,,,Cigala,,,,,
,,,,Ciervo,,,,,
,,,,Chuña,,,,,
,,,,Chucla,,,,,
,,,,Chova,,,,,
,,,,Chotoy,,,,,
,,,,Choto,,,,,
,,,,Chorlo,,,,,
,,,,Chopí,,,,,
,,,,Chopa,,,,,
,,,,Choco,,,,,
,,,,Chocha,,,,,
,,,,Chivo,,,,,
,,,,Chital,,,,,
,,,,Chirú,,,,,
,,,,Chirla,,,,,
,,,,Chipe,,,,,
,,,,Chinuc,,,,,
,,,,Cherna,,,,,
,,,,Chelco,,,,,
,,,,Charal,,,,,
,,,,Chara,,,,,
,,,,Chango,,,,,
,,,,Chajá,,,,,
,,,,Chagra,,,,,
,,,,Chacal,,,,,
,,,,Cetia,,,,,
,,,,Cerdo,,,,,
,,,,Cebú,,,,,
,,,,Cebra,,,,,
,,,,Cazón,,,,,
,,,,Catita,,,,,
,,,,Catemo,,,,,
,,,,Catán,,,,,
,,,,Castor,,,,,
,,,,Carrao,,,,,
,,,,Carpín,,,,,
,,,,Carpa,,,,,
,,,,Carite,,,,,
,,,,Caribú,,,,,
,,,,Cárabo,,,,,
,,,,Cao,,,,,
,,,,Cantil,,,,,
,,,,Candil,,,,,
,,,,Camea,,,,,
,,,,Cama,,,,,
,,,,Cálao,,,,,
,,,,Cajaro,,,,,
,,,,Caique,,,,,
,,,,Caimán,,,,,
,,,,Cacho,,,,,
,,,,Cabra,,,,,
,,,,Cabasú,,,,,
,,,,Burro,,,,,
,,,,Bulbul,,,,,
,,,,Buitre,,,,,
,,,,Búho,,,,,
,,,,Búfalo,,,,,
,,,,Buey,,,,,
