Animal,Adjectives,Colors,Verbs,Animales,Adjectivos,Verbos,Colores,Sustantivos,Animal2
Moose,that,,Kiss,Tilopo,,,,carne,Moose
Monkey,testy,,Kick,Tigre,,,,cargo,Monkey
Mole,tepid,,Jump,Tigon,,,,campo,Mole
Mite,tense,,Judge,Tigana,,,,camisa,Mite
Minnow,tender,,Jog,Tieke,,,,camino,Minnow
Mink,taut,,Invent,Teyu,,,,cambio,Mink
marten,tasty,,Infer,Tetra,,,,camara,marten
Marmot,tart,,Hug,Tesia,,,,cama,Marmot
Marlin,tan,,Hope,Tenrec,,,,calor,Marlin
Mantis,tame,,Hop,Tenia,,,,calle,Mantis
mammal,tall,,Hold,Tenca,,,,cadera,mammal
Magpie,swift,,Hit,Tejon,,,,cabo,Magpie
Macaw,sweet,,Hate,Taruca,,,,cabeza,Macaw
Lynx,sweaty,,Guilt,Tarro,,,,bus,Lynx
Louse,svelte,,Grate,Tarpon,,,,brazo,Louse
Loon,superb,,Grasp,Tarpan,,,,bragas,Loon
Locust,super,,Grab,Tar,,,,boton,Locust
Llama,sunny,,Give,Tapir,,,,bosque,Llama
Lizard,sugary,,Fry,Tapeti,,,,bolso,Lizard
Lion,sudden,,Focus,Tanuki,,,,bolsa,Lion
Limpet,subtle,,Fly,Tambor,,,,boleto,Limpet
Lice,sturdy,,Flip,Takin,,,,bicho,Lice
Leopon,stupid,,Fix,Takahe,,,,bebida,Leopon
Lemur,strong,,Find,Taira,,,,bebe,Lemur
Leech,strict,,Fight,Tabano,,,,base,Leech
Lark,stormy,,Fear,Surubi,,,,barro,Lark
Lamb,stingy,,Eat,Surili,,,,bambu,Lamb
Lama,stiff,,Drop,Suno,,,,babosa,Lama
Krill,sticky,,Drive,Suni,,,,ayuda,Krill
Koi,steep,,Drink,Sula,,,,ayer,Koi
Koala,steel,,Dream,Suela,,,,avion,Koala
Kiwi,starry,,Draw,Sonso,,,,avena,Kiwi
Kite,stark,,Drag,Solla,,,,avance,Kite
Kid,stale,,Doubt,Soco,,,,autor,Kid
Jay,staid,,Dive,Sison,,,,atun,Jay
Jaguar,stable,,Dig,Sirena,,,,ataque,Jaguar
Jackal,square,,Detest,Siluro,,,,arte,Jackal
Insect,spry,,Desire,Silfo,,,,arroz,Insect
Impala,spiffy,,Deduce,Sigano,,,,arma,Impala
Iguana,spicy,,Decide,Sifaca,,,,area,Iguana
Hyrax,speedy,,Dance,Sierra,,,,arbol,Hyrax
Hyena,sparse,,Cut,Sibia,,,,arana,Hyena
Horse,sour,,Cry,Shama,,,,apoyo,Horse
Hornet,soupy,,Create,Serval,,,,ano,Hornet
Heron,sore,,Crawl,Serin,,,,animal,Heron
Hen,some,,Crave,Serete,,,,ancho,Hen
Hawk,somber,,Count,Serau,,,,amor,Hawk
Hare,solid,,Cook,Sepia,,,,amigo,Hare
Guppy,soggy,,Close,Sauro,,,,altura,Guppy
Gull,soft,,Climb,Sasin,,,,alto,Gull
Guan,snoopy,,Clean,Sarrio,,,,alma,Guan
Grouse,sneaky,,Clap,Sargo,,,,aleman,Grouse
Gopher,snappy,,Chop,Sarda,,,,aire,Gopher
Goose,smug,,Choose,Sapo,,,,aguja,Goose
Goat,smooth,,Chew,Sapata,,,,aguila,Goat
Gnat,smoggy,,Catch,Saola,,,,agua,Gnat
Gibbon,smart,,Carry,Sambar,,,,adulto,Gibbon
Gerbil,small,,Call,Salton,,,,acto,Gerbil
Gecko,slushy,,Buy,Salpa,,,,accion,Gecko
gayal,slow,,Break,Salmon,,,,abuelo,gayal
Frog,slimy,,Bow,Salema,,,,abrigo,Frog
Fox,slim,,Bounce,Salano,,,,,Fox
Fowl,slight,,Boil,Saki,,,,,Fowl
Fly,sleepy,,Blame,Saiga,,,,,Fly
Flea,skinny,,Bite,Sahui,,,,,Flea
Fish,single,,Bend,Saboga,,,,,Fish
Finch,sinful,,Bathe,Sable,,,,,Finch
Ferret,simple,,Bake,Sabalo,,,,,Ferret
Falcon,silver,,Assess,Rutilo,,,,,Falcon
Erne,silly,,Ask,Rufo,,,,,Erne
Ermine,silky,,Admire,Rubio,,,,,Ermine
Emu,silent,,Add,Rosada,,,,,Emu
Elk,sick,,Accept,Ronco,,,,,Elk
Egret,shy,,,Rohu,,,,,Egret
Eel,shrill,,,Rocin,,,,,Eel
Earwig,showy,,,Robin,,,,,Earwig
Eagle,short,,,Robalo,,,,,Eagle
Duck,shoddy,,,Rezno,,,,,Duck
Drake,shiny,,,Reno,,,,,Drake
Dragon,sharp,,,Remora,,,,,Dragon
Dove,shady,,,Remol,,,,,Dove
Donkey,shabby,,,Reloj,,,,,Donkey
Dog,severe,,,Rebeco,,,,,Dog
Dingo,serene,,,Raya,,,,,Dingo
Deer,secret,,,Ratona,,,,,Deer
Cuckoo,second,,,Raton,,,,,Cuckoo
Crow,scary,,,Ratina,,,,,Crow
Crane,scared,,,Ratel,,,,,Crane
Crab,scarce,,,Rata,,,,,Crab
Coyote,scaly,,,Rascon,,,,,Coyote
Cow,sane,,,Rape,,,,,Cow
Cougar,sandy,,,Ranita,,,,,Cougar
Coral,same,,,Rana,,,,,Coral
Condor,salty,,,Rabosa,,,,,Condor
Coho,safe,,,Rabil,,,,,Coho
Cod,sad,,,Quol,,,,,Cod
Cobra,rusty,,,Quokka,,,,,Cobra
Clam,rural,,,Quiula,,,,,Clam
Cicada,runny,,,Quiton,,,,,Cicada
Cattle,rude,,,Quinde,,,,,Cattle
Cat,ruddy,,,Quetru,,,,,Cat
Carp,royal,,,Quelea,,,,,Carp
canid,rowdy,,,Quagga,,,,,canid
Canary,round,,,Puma,,,,,Canary
Camel,rough,,,Pulpo,,,,,Camel
Calf,rotten,,,Pulgon,,,,,Calf
Bull,rosy,,,Pulga,,,,,Bull
Bug,robust,,,Pudu,,,,,Bug
Budgie,ripe,,,Pucu,,,,,Budgie
Buck,ringed,,,Proteo,,,,,Buck
Bovid,rigid,,,Prinia,,,,,Bovid
Booby,right,,,Potoro,,,,,Booby
Bonobo,rich,,,Poton,,,,,Bonobo
Bobcat,remote,,,Poto,,,,,Bobcat
Boar,regal,,,Pota,,,,,Boar
Boa,red,,,Posum,,,,,Boa
Bison,recent,,,Porron,,,,,Bison
Bird,real,,,Poni,,,,,Bird
Beetle,ready,,,Pollo,,,,,Beetle
Bee,raw,,,Polla,,,,,Bee
Bedbug,rash,,,Pluma,,,,,Bedbug
Beaver,rare,,,Platy,,,,,Beaver
Bear,rapid,,,Piure,,,,,Bear
Bat,ragged,,,Piton,,,,,Bat
Bass,quirky,,,Pito,,,,,Bass
Badger,quiet,,,Pita,,,,,Badger
Baboon,quick,,,Pirana,,,,,Baboon
Asp,queasy,,,Piopio,,,,,Asp
Aphid,quaint,,,Piojo,,,,,Aphid
Ape,putrid,,,Pinzon,,,,,Ape
Ant,pushy,,,Pinuca,,,,,Ant
Alpaca,purple,,,Pijui,,,,,Alpaca
,pure,,,Pihuel,,,,,
,puny,,,Piha,,,,,
,proud,,,Picure,,,,,
,proper,,,Picudo,,,,,
,prize,,,Pico,,,,,
,prime,,,Piche,,,,,
,pricey,,,Pica,,,,,
,pretty,,,Pibi,,,,,
,posh,,,Piarda,,,,,
,portly,,,Pez,,,,,
,poor,,,Peuco,,,,,
,polite,,,Petrel,,,,,
,poised,,,Peto,,,,,
,plush,,,Perro,,,,,
,plump,,,Perico,,,,,
,plain,,,Perdiz,,,,,
,pink,,,Perca,,,,,
,phony,,,Pepino,,,,,
,petty,,,Peluda,,,,,
,pesky,,,Pelada,,,,,
,perky,,,Pekan,,,,,
,pastel,,,Pecari,,,,,
,past,,,Pavon,,,,,
,paltry,,,Pavo,,,,,
,pale,,,Pava,,,,,
,oval,,,Paujil,,,,,
,our,,,Pa'ua,,,,,
,other,,,Pato,,,,,
,ornery,,,Pati,,,,,
,ornate,,,Parina,,,,,
,orange,,,Pargo,,,,,
,open,,,Papion,,,,,
,only,,,Panga,,,,,
,old,,,Panda,,,,,
,oily,,,Paloma,,,,,
,odd,,,Palila,,,,,
,oblong,,,Pajaro,,,,,
,obese,,,Paino,,,,,
,nutty,,,Paiche,,,,,
,numb,,,Pagaza,,,,,
,novel,,,Pagalo,,,,,
,noted,,,Pacu,,,,,
,normal,,,Paca,,,,,
,noisy,,,Oxiuro,,,,,
,nippy,,,Oveja,,,,,
,nimble,,,Ou,,,,,
,nifty,,,Otario,,,,,
,nice,,,Ostra,,,,,
,next,,,Ostion,,,,,
,new,,,Oso,,,,,
,needy,,,Oscar,,,,,
,neat,,,Ortiga,,,,,
,near,,,Ortega,,,,,
,nasty,,,Orix,,,,,
,narrow,,,Oribi,,,,,
,naive,,,Oreo,,,,,
,muted,,,Oreja,,,,,
,musty,,,Orca,,,,,
,mushy,,,Opa,,,,,
,murky,,,Onza,,,,,
,muddy,,,Onagro,,,,,
,moral,,,Olingo,,,,,
,moist,,,Olayo,,,,,
,modest,,,Okapi,,,,,
,modern,,,Ofiura,,,,,
,mixed,,,Oca,,,,,
,misty,,,Oblada,,,,,
,minty,,,Obispo,,,,,
,minor,,,Nyala,,,,,
,milky,,,Nutria,,,,,
,mild,,,Numbat,,,,,
,messy,,,Nu,,,,,
,merry,,,Nocla,,,,,
,mellow,,,Ninox,,,,,
,meek,,,Nilgo,,,,,
,medium,,,Nigua,,,,,
,meaty,,,Nerita,,,,,
,measly,,,Neque,,,,,
,mean,,,Necora,,,,,
,mealy,,,Navaja,,,,,
,meager,,,Nasico,,,,,
,mature,,,Narval,,,,,
,male,,,Nandu,,,,,
,major,,,Nacra,,,,,
,mad,,,Musola,,,,,
,lumpy,,,Murice,,,,,
,lucky,,,Mulato,,,,,
,loyal,,,Mula,,,,,
,low,,,Mugil,,,,,
,loving,,,Muflon,,,,,
,lovely,,,Muergo,,,,,
,loud,,,Mosca,,,,,
,lost,,,Morsa,,,,,
,loose,,,Morito,,,,,
,long,,,Morena,,,,,
,lonely,,,Mora,,,,,
,lone,,,Mono,,,,,
,livid,,,Monjon,,,,,
,lively,,,Monja,,,,,
,live,,,Monito,,,,,
,little,,,Monal,,,,,
,liquid,,,Mona,,,,,
,lined,,,Momoto,,,,,
,linear,,,Moma,,,,,
,limp,,,Molva,,,,,
,likely,,,Moloc,,,,,
,light,,,Mojo,,,,,
,legal,,,Mofeta,,,,,
,left,,,Moa,,,,,
,lean,,,Mixino,,,,,
,leafy,,,Mito,,,,,
,lazy,,,Mirlo,,,,,
,lawful,,,Minla,,,,,
,lavish,,,Minero,,,,,
,late,,,Mina,,,,,
,last,,,Milano,,,,,
,large,,,Mielga,,,,,
,lanky,,,Mesito,,,,,
,lame,,,Mero,,,,,
,kosher,,,Merlo,,,,,
,kooky,,,Merlan,,,,,
,known,,,Melva,,,,,
,knotty,,,Mejua,,,,,
,knobby,,,Medusa,,,,,
,klutzy,,,Mayito,,,,,
,kindly,,,Mayate,,,,,
,kind,,,Mataco,,,,,
,key,,,Maruca,,,,,
,keen,,,Martin,,,,,
,junior,,,Marta,,,,,
,jumpy,,,Marlin,,,,,
,jumbo,,,Marjor,,,,,
,juicy,,,Marica,,,,,
,joyous,,,Margay,,,,,
,joyful,,,Marao,,,,,
,jovial,,,Marabu,,,,,
,jolly,,,Mara,,,,,
,joint,,,Manul,,,,,
,jaunty,,,Mantis,,,,,
,jagged,,,Manta,,,,,
,jaded,,,Mano,,,,,
,itchy,,,Mango,,,,,
,intent,,,Manati,,,,,
,inborn,,,Mamut,,,,,
,impure,,,Mamo,,,,,
,impish,,,Mamba,,,,,
,ill,,,Maluro,,,,,
,idle,,,Maleo,,,,,
,ideal,,,Macha,,,,,
,icy,,,Macaon,,,,,
,icky,,,Macaco,,,,,
,husky,,,Luna,,,,,
,hungry,,,Lumpo,,,,,
,humble,,,Lugano,,,,,
,huge,,,Lucion,,,,,
,hot,,,Lucio,,,,,
,honest,,,Lubina,,,,,
,homely,,,Lota,,,,,
,hollow,,,Loro,,,,,
,hoarse,,,Loris,,,,,
,high,,,Lori,,,,,
,hidden,,,Lorcha,,,,,
,hefty,,,Loica,,,,,
,heavy,,,Loco,,,,,
,hearty,,,Locha,,,,,
,hasty,,,Lobo,,,,,
,harsh,,,Lobina,,,,,
,hard,,,Lloron,,,,,
,happy,,,Llama,,,,,
,handy,,,Llaca,,,,,
,half,,,Lisa,,,,,
,hairy,,,Liron,,,,,
,gummy,,,Lirio,,,,,
,guilty,,,Lince,,,,,
,grumpy,,,Limaco,,,,,
,grubby,,,Ligre,,,,,
,grown,,,Liebre,,,,,
,gross,,,Licaon,,,,,
,grimy,,,Leon,,,,,
,grim,,,Lengua,,,,,
,green,,,Lemur,,,,,
,greedy,,,Lechwe,,,,,
,great,,,Laucha,,,,,
,gray,,,Lapa,,,,,
,grave,,,Lanzon,,,,,
,grand,,,Langur,,,,,
,good,,,Lacha,,,,,
,golden,,,Kulan,,,,,
,glum,,,Kudu,,,,,
,glossy,,,Krill,,,,,
,gloomy,,,Kowari,,,,,
,glass,,,Kokako,,,,,
,giving,,,Koel,,,,,
,gifted,,,Koala,,,,,
,giddy,,,Kiwi,,,,,
,giant,,,Kiula,,,,,
,gentle,,,Kioea,,,,,
,fuzzy,,,Keta,,,,,
,fussy,,,Kea,,,,,
,funny,,,Kaluta,,,,,
,full,,,Kakapo,,,,,
,frugal,,,Kaka,,,,,
,frozen,,,Kagu,,,,,
,frosty,,,Jutia,,,,,
,front,,,Jurela,,,,,
,frizzy,,,Jurel,,,,,
,frilly,,,Junco,,,,,
,frigid,,,Julia,,,,,
,fresh,,,Jote,,,,,
,French,,,Jochi,,,,,
,free,,,Jirafa,,,,,
,frayed,,,Jineta,,,,,
,frank,,,Jiji,,,,,
,frail,,,Jibia,,,,,
,formal,,,Jerbo,,,,,
,forked,,,Jaiba,,,,,
,fond,,,Jaguar,,,,,
,fluid,,,Jacana,,,,,
,fluffy,,,Jabiru,,,,,
,flimsy,,,Jabali,,,,,
,flawed,,,Irena,,,,,
,flat,,,Irbis,,,,,
,flashy,,,Irara,,,,,
,flaky,,,Iora,,,,,
,fixed,,,Indri,,,,,
,first,,,Inca,,,,,
,firm,,,Inambu,,,,,
,fine,,,Impala,,,,,
,filthy,,,'i'iwi,,,,,
,fickle,,,Iguana,,,,,
,few,,,Ifrita,,,,,
,female,,,Idolo,,,,,
,feline,,,Ibis,,,,,
,feisty,,,Ibice,,,,,
,fatal,,,Huron,,,,,
,fat,,,Huro,,,,,
,fast,,,Humano,,,,,
,far,,,Huina,,,,,
,fancy,,,Huia,,,,,
,famous,,,Huemul,,,,,
,fake,,,Hubara,,,,,
,fair,,,Hombre,,,,,
,faint,,,Hoco,,,,,
,expert,,,Hoacin,,,,,
,exotic,,,Hirola,,,,,
,evil,,,Hihi,,,,,
,every,,,Hiena,,,,,
,even,,,Hidra,,,,,
,equal,,,Hemion,,,,,
,entire,,,Harpia,,,,,
,empty,,,Hapuku,,,,,
,elated,,,Halcon,,,,,
,edible,,,Habia,,,,,
,easy,,,Guya,,,,,
,early,,,Gusano,,,,,
,eager,,,Gurami,,,,,
,each,,,Gura,,,,,
,dull,,,Guppy,,,,,
,dual,,,Gundi,,,,,
,dry,,,Guirre,,,,,
,droopy,,,Guion,,,,,
,dreary,,,Guatin,,,,,
,drafty,,,Guara,,,,,
,drab,,,Guama,,,,,
,double,,,Grulla,,,,,
,doting,,,Grison,,,,,
,dopey,,,Grillo,,,,,
,dizzy,,,Grevol,,,,,
,dismal,,,Gran,,,,,
,dirty,,,Graja,,,,,
,direct,,,Gorila,,,,,
,dim,,,Goral,,,,,
,dental,,,Gobio,,,,,
,dense,,,Gloton,,,,,
,deep,,,Gineta,,,,,
,decent,,,Gibon,,,,,
,dear,,,Gelada,,,,,
,deadly,,,Geco,,,,,
,dead,,,Gayal,,,,,
,dark,,,Gavion,,,,,
,daring,,,Gavial,,,,,
,dapper,,,Gaur,,,,,
,damp,,,Gaucho,,,,,
,cute,,,Gato,,,,,
,curvy,,,Garza,,,,,
,curly,,,Gardi,,,,,
,cuddly,,,Ganso,,,,,
,cruel,,,Ganga,,,,,
,crisp,,,Gamuza,,,,,
,creepy,,,Gamo,,,,,
,creamy,,,Gamba,,,,,
,crazy,,,Galupe,,,,,
,crafty,,,Galua,,,,,
,costly,,,Gallo,,,,,
,corny,,,Galera,,,,,
,cool,,,Galan,,,,,
,cooked,,,Galago,,,,,
,common,,,Gadela,,,,,
,cold,,,Gacela,,,,,
,coarse,,,Fusta,,,,,
,clumsy,,,Fulmar,,,,,
,cloudy,,,Fredi,,,,,
,closed,,,Fosa,,,,,
,close,,,Fodi,,,,,
,clever,,,Focha,,,,,
,clear,,,Foca,,,,,
,clean,,,Fletan,,,,,
,chubby,,,Fiofio,,,,,
,chilly,,,Fenec,,,,,
,chief,,,Fartet,,,,,
,cheery,,,Farra,,,,,
,cheap,,,Fara,,,,,
,caring,,,Faneca,,,,,
,canine,,,Falsa,,,,,
,candid,,,Faisan,,,,,
,calm,,,Faeton,,,,,
,busy,,,Erizo,,,,,
,burly,,,Emu,,,,,
,bumpy,,,Eminia,,,,,
,bulky,,,Elanio,,,,,
,bubbly,,,Eland,,,,,
,brown,,,Eider,,,,,
,bronze,,,Duiker,,,,,
,broken,,,Duende,,,,,
,brisk,,,Duela,,,,,
,bright,,,Ducula,,,,,
,brief,,,Drongo,,,,,
,brave,,,Dromas,,,,,
,bowed,,,Dril,,,,,
,bouncy,,,Dragon,,,,,
,both,,,Draco,,,,,
,bossy,,,Dorado,,,,,
,boring,,,Dorada,,,,,
,bony,,,Dole,,,,,
,bold,,,Dolar,,,,,
,bogus,,,Dojo,,,,,
,blue,,,Dodo,,,,,
,blond,,,Diucon,,,,,
,blind,,,Diuca,,,,,
,bleak,,,Dingo,,,,,
,blank,,,Dibler,,,,,
,bland,,,Diablo,,,,,
,black,,,Desman,,,,,
,bitter,,,Denton,,,,,
,big,,,Delfin,,,,,
,better,,,Delfin,,,,,
,best,,,Degu,,,,,
,basic,,,Danta,,,,,
,barren,,,Danio,,,,,
,bare,,,Daman,,,,,
,baggy,,,Dafnia,,,,,
,bad,,,Cutin,,,,,
,back,,,Cutia,,,,,
,awful,,,Cuscus,,,,,
,aware,,,Cururo,,,,,
,arid,,,Curiyu,,,,,
,arctic,,,Cuon,,,,,
,apt,,,Cuol,,,,,
,any,,,Cuna,,,,,
,annual,,,Cuis,,,,,
,angry,,,Cuervo,,,,,
,amused,,,Cuco,,,,,
,ample,,,Cucha,,,,,
,all,,,Cucal,,,,,
,alive,,,Cubla,,,,,
,alert,,,Cuatro,,,,,
,ajar,,,Cuaga,,,,,
,agile,,,Cua,,,,,
,aged,,,Crialo,,,,,
,afraid,,,Coyote,,,,,
,adored,,,Cotuza,,,,,
,adept,,,Cotua,,,,,
,actual,,,Cotara,,,,,
,active,,,Corzo,,,,,
,acidic,,,Corua,,,,,
,aching,,,Coral,,,,,
,able,,,Coqui,,,,,
,,,,Conejo,,,,,
,,,,Condor,,,,,
,,,,Concon,,,,,
,,,,Concha,,,,,
,,,,Colugo,,,,,
,,,,Coludo,,,,,
,,,,Colobo,,,,,
,,,,Colin,,,,,
,,,,Cola,,,,,
,,,,Coipo,,,,,
,,,,Coendu,,,,,
,,,,Cocuy,,,,,
,,,,Cochoa,,,,,
,,,,Cochi,,,,,
,,,,Cobra,,,,,
,,,,Cobo,,,,,
,,,,Cobia,,,,,
,,,,Cobaya,,,,,
,,,,Coati,,,,,
,,,,Civeta,,,,,
,,,,Cisne,,,,,
,,,,Cinta,,,,,
,,,,Cinife,,,,,
,,,,Cigua,,,,,
,,,,Cigala,,,,,
,,,,Ciervo,,,,,
,,,,Chuna,,,,,
,,,,Chucla,,,,,
,,,,Chova,,,,,
,,,,Chotoy,,,,,
,,,,Choto,,,,,
,,,,Chorlo,,,,,
,,,,Chopi,,,,,
,,,,Chopa,,,,,
,,,,Choco,,,,,
,,,,Chocha,,,,,
,,,,Chivo,,,,,
,,,,Chital,,,,,
,,,,Chiru,,,,,
,,,,Chirla,,,,,
,,,,Chipe,,,,,
,,,,Chinuc,,,,,
,,,,Cherna,,,,,
,,,,Chelco,,,,,
,,,,Charal,,,,,
,,,,Chara,,,,,
,,,,Chango,,,,,
,,,,Chaja,,,,,
,,,,Chagra,,,,,
,,,,Chacal,,,,,
,,,,Cetia,,,,,
,,,,Cerdo,,,,,
,,,,Cebu,,,,,
,,,,Cebra,,,,,
,,,,Cazon,,,,,
,,,,Catita,,,,,
,,,,Catemo,,,,,
,,,,Catan,,,,,
,,,,Castor,,,,,
,,,,Carrao,,,,,
,,,,Carpin,,,,,
,,,,Carpa,,,,,
,,,,Carite,,,,,
,,,,Caribu,,,,,
,,,,Carabo,,,,,
,,,,Cao,,,,,
,,,,Cantil,,,,,
,,,,Candil,,,,,
,,,,Camea,,,,,
,,,,Cama,,,,,
,,,,Calao,,,,,
,,,,Cajaro,,,,,
,,,,Caique,,,,,
,,,,Caiman,,,,,
,,,,Cacho,,,,,
,,,,Cabra,,,,,
,,,,Cabasu,,,,,
,,,,Burro,,,,,
,,,,Bulbul,,,,,
,,,,Buitre,,,,,
,,,,Buho,,,,,
,,,,Bufalo,,,,,
,,,,Buey,,,,,
,,,,Budion,,,,,
,,,,Buco,,,,,
,,,,Bubute,,,,,
